"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
1083 0.372978195748845 5 6 "GO:0000393" "spliceosomal conformational changes to generate catalytic conformation" 0.658972805641922
584 0.479606130428592 3 13 "GO:0000394;GO:0006388" "RNA splicing, via endonucleolytic cleavage and ligation" 0.74090398597739
-762 0.468799177084682 2 8 "GO:0000395" "mRNA 5'-splice site recognition" 0.733603019647444
1190 0.0198810905780367 3 34 "GO:0000413;GO:0018208" "peptidyl-proline modification" 0.134946595706971
665 0.58420437103437 -1 6 "GO:0000414" "obsolete regulation of histone H3-K36 methylation" 0.807380731198367
926 0.0623416935804231 2 36 "GO:0000422;GO:0061726" "autophagy of mitochondrion" 0.266152147819222
976 0.276814150981771 2 11 "GO:0000423" "mitophagy" 0.573962658586792
775 0.434808851236923 3 9 "GO:0000447" "endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.707155885684859
1242 0.350949978269949 2 5 "GO:0000454" "snoRNA guided rRNA pseudouridine synthesis" 0.639459358515016
2437 0.0448852644927283 3 6 "GO:0000459;GO:0000467" "exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.219584071282712
688 0.178250303130209 2 34 "GO:0000460" "maturation of 5.8S rRNA" 0.467486644058473
118 0.801684562518228 3 40 "GO:0000462" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.919062404014781
1264 0.141317462520918 2 12 "GO:0000463" "maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.413968100173063
770 0.236341150082334 2 21 "GO:0000466" "maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.534925774735024
855 0.128868118799548 -1 28 "GO:0000469" "obsolete cleavage involved in rRNA processing" 0.395195564318614
1278 0.0232114166155836 2 28 "GO:0000470" "maturation of LSU-rRNA" 0.149159595819137
444 0.516251542917205 2 19 "GO:0000479;GO:0000478" "obsolete endonucleolytic cleavage involved in rRNA processing" 0.762739689434056
443 0.71562669830681 2 6 "GO:0000480" "endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.875735331861003
1072 0.212271805277398 2 12 "GO:0000491;GO:0000492" "small nucleolar ribonucleoprotein complex assembly" 0.508911107215479
-202 0.365912949125205 4 181 "GO:0000578;GO:0007351;GO:0008595" "embryonic axis specification" 0.653923157619823
