	SRR14729874.clean.fastq.gz.samSYM.counts	SRR14729875.clean.fastq.gz.samSYM.counts	SRR14729876.clean.fastq.gz.samSYM.counts	SRR14729877.clean.fastq.gz.samSYM.counts	SRR14729879.clean.fastq.gz.samSYM.counts	SRR14729880.clean.fastq.gz.samSYM.counts	SRR14729882.clean.fastq.gz.samSYM.counts	SRR14729883.clean.fastq.gz.samSYM.counts	SRR14729884.clean.fastq.gz.samSYM.counts	SRR14729885.clean.fastq.gz.samSYM.counts	SRR14729886.clean.fastq.gz.samSYM.counts	SRR14729887.clean.fastq.gz.samSYM.counts	SRR14729888.clean.fastq.gz.samSYM.counts	SRR14729891.clean.fastq.gz.samSYM.counts	SRR14729892.clean.fastq.gz.samSYM.counts	
evm.model.scaffold_14798.7	4	1	2	11	2	12	3	0	4	0	1	6	0	0	5	
evm.model.scaffold_148.1	1	2	3	6	1	3	2	2	2	0	1	4	3	3	3	
evm.model.scaffold_1480.1	0	0	1	1	0	3	1	0	0	0	1	1	0	0	2	
evm.model.scaffold_14800.1	4	5	12	12	3	24	3	3	7	4	1	3	2	4	25	
evm.model.scaffold_14800.2	1	0	2	7	1	3	1	0	4	1	0	3	1	3	1	
evm.model.scaffold_14800.3	1	0	5	8	1	9	2	4	5	0	0	4	2	1	4	
evm.model.scaffold_14801.1	1	1	4	16	0	12	0	2	0	0	0	0	1	0	14	
evm.model.scaffold_14803.1	1	0	5	6	0	10	0	0	3	0	2	1	0	3	7	
evm.model.scaffold_14804.1	0	2	2	4	0	4	6	1	1	0	2	0	0	4	10	
evm.model.scaffold_14808.1	0	0	4	5	0	14	2	3	3	0	0	1	1	1	14	
evm.model.scaffold_14808.2	2	4	7	8	0	10	1	1	3	0	0	0	1	1	8	
evm.model.scaffold_14808.3	1	1	1	1	0	3	1	0	0	0	1	0	1	1	1	
evm.model.scaffold_14812.1	0	0	1	3	1	5	0	0	0	0	0	4	0	0	4	
evm.model.scaffold_14813.1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	
evm.model.scaffold_14813.2	7	10	26	47	13	69	28	7	31	5	20	14	8	9	44	
evm.model.scaffold_14813.3	3	2	3	13	1	13	8	2	5	0	2	7	2	4	5	
evm.model.scaffold_14813.4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	
evm.model.scaffold_1482.1	1	3	2	4	1	1	0	1	0	0	1	1	0	1	4	
evm.model.scaffold_1482.2	8	17	16	41	1	43	11	9	7	1	2	14	5	3	34	
evm.model.scaffold_14821.1	6	1	3	9	1	14	5	0	3	1	2	7	0	4	11	
evm.model.scaffold_14821.2	1	0	1	4	0	5	0	1	0	0	3	1	3	0	2	
evm.model.scaffold_14821.4	2	1	1	4	1	4	1	3	1	0	0	2	0	2	8	
evm.model.scaffold_14822.2	0	0	0	0	1	0	0	1	2	0	0	0	1	1	0	
evm.model.scaffold_14823.1	4	2	8	18	3	10	2	4	1	1	1	12	0	2	5	
evm.model.scaffold_14824.1	2	2	4	10	0	9	4	2	7	0	1	5	0	5	13	
evm.model.scaffold_14826.1	0	0	1	1	1	4	0	0	1	0	0	1	0	0	1	
evm.model.scaffold_14829.1	0	0	0	0	0	4	0	0	0	0	0	0	0	1	1	
evm.model.scaffold_14831.1	1	9	5	9	2	15	3	3	2	1	5	8	4	1	26	
evm.model.scaffold_14834.2	1	3	8	7	1	14	6	4	14	0	5	7	5	0	17	
evm.model.scaffold_14834.3	1	4	4	6	1	11	1	4	3	1	2	5	0	1	9	
evm.model.scaffold_14835.1	1	3	8	6	2	11	1	3	7	0	0	2	2	4	8	
evm.model.scaffold_14835.2	0	0	3	1	1	3	0	2	0	0	1	1	0	0	3	
evm.model.scaffold_14836.1	17	19	46	57	9	85	18	20	40	4	12	20	24	12	75	
evm.model.scaffold_1484.1	3	1	4	3	0	5	3	0	6	0	2	1	1	0	10	
evm.model.scaffold_1484.2	4	1	13	12	2	15	9	2	5	1	3	11	4	8	19	
evm.model.scaffold_1484.3	3	7	17	23	6	31	6	6	16	3	5	11	4	8	39	
evm.model.scaffold_14840.1	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	
evm.model.scaffold_14840.2	0	0	0	3	0	6	4	0	2	0	0	2	0	4	4	
evm.model.scaffold_14840.5	1	5	8	13	3	6	7	2	6	3	5	6	0	7	12	
evm.model.scaffold_14842.1	0	1	0	0	0	1	0	0	0	0	0	2	0	0	1	
evm.model.scaffold_14843.3	0	1	4	0	0	2	1	0	2	0	0	0	1	0	5	
evm.model.scaffold_14844.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
evm.model.scaffold_14846.1	0	1	1	2	0	0	0	0	1	0	0	0	0	0	1	
evm.model.scaffold_14846.2	0	2	0	2	2	9	1	2	5	1	0	3	0	2	7	
evm.model.scaffold_14847.1	24	28	22	62	49	59	39	11	17	17	29	44	32	17	42	
evm.model.scaffold_14848.1	1	1	3	3	3	5	2	0	4	0	1	1	1	0	3	
evm.model.scaffold_14848.3	0	1	1	0	0	1	1	0	0	0	0	0	0	0	1	
evm.model.scaffold_14849.1	2	2	7	14	2	9	2	0	6	0	2	4	1	3	8	
evm.model.scaffold_14849.2	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	
evm.model.scaffold_14849.3	3	6	7	9	4	24	2	0	5	2	2	6	1	2	13	
evm.model.scaffold_1485.1	3	1	8	14	3	13	2	5	8	1	1	6	3	6	8	
evm.model.scaffold_14851.1	2	1	3	0	0	6	0	0	1	0	0	0	0	0	2	
evm.model.scaffold_14852.1	21	9	26	48	13	55	28	14	20	2	22	30	13	17	53	
evm.model.scaffold_14852.4	2	4	2	5	1	9	2	3	1	0	2	1	0	2	15	
evm.model.scaffold_14853.1	3	3	5	7	2	11	2	4	5	0	4	3	1	5	13	
evm.model.scaffold_14853.2	2	1	0	3	0	6	1	3	1	0	1	2	3	2	4	
evm.model.scaffold_14853.3	30	31	49	110	24	156	43	29	75	9	37	51	18	43	115	
evm.model.scaffold_14853.4	3	5	6	13	9	20	9	12	7	2	5	6	3	9	13	
evm.model.scaffold_14853.5	1	5	9	22	2	23	10	4	7	1	5	3	3	3	9	
evm.model.scaffold_14853.8	0	1	2	7	1	1	3	1	0	0	1	1	0	0	2	
evm.model.scaffold_14854.2	1	2	2	3	0	4	0	0	1	0	1	0	1	0	2	
evm.model.scaffold_14856.1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	
evm.model.scaffold_14857.4	0	1	0	1	0	3	0	1	0	1	0	0	0	0	3	
evm.model.scaffold_14858.1	0	4	8	11	2	13	8	2	6	1	2	1	0	3	16	
evm.model.scaffold_14859.1	1	2	9	7	1	15	1	1	2	1	2	3	1	5	12	
evm.model.scaffold_14859.2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	
evm.model.scaffold_14859.3	0	0	3	0	0	5	0	1	0	0	0	3	0	0	1	
evm.model.scaffold_1486.1	3	7	21	17	7	38	8	6	12	3	5	6	4	12	29	
evm.model.scaffold_1486.4	1	0	1	1	0	3	3	0	2	0	1	1	0	0	1	
evm.model.scaffold_1486.5	0	0	0	0	1	2	2	1	0	0	0	0	3	0	1	
evm.model.scaffold_1486.6	0	0	2	4	0	2	0	0	2	0	0	4	0	0	2	
evm.model.scaffold_1486.8	0	0	1	2	1	7	1	1	2	0	1	4	0	1	6	
evm.model.scaffold_14860.1	0	0	0	1	1	3	2	0	1	1	0	3	0	0	1	
evm.model.scaffold_14860.2	1	0	1	6	3	2	1	0	3	2	0	4	1	1	9	
evm.model.scaffold_14862.1	1	0	4	6	0	4	0	0	2	0	1	3	1	5	1	
evm.model.scaffold_14863.1	0	0	1	0	0	0	1	0	1	0	0	0	3	0	0	
evm.model.scaffold_14863.2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	
evm.model.scaffold_14863.3	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	
evm.model.scaffold_14863.4	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	
evm.model.scaffold_14866.1	0	1	3	1	0	1	1	0	0	0	0	0	0	1	3	
evm.model.scaffold_14868.1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	
evm.model.scaffold_14871.1	3	0	5	2	1	8	2	0	4	0	0	2	0	4	3	
evm.model.scaffold_14871.5	2	4	1	8	1	7	1	1	2	0	0	3	1	1	7	
evm.model.scaffold_14876.1	18	19	35	56	16	71	19	14	23	3	7	17	10	15	69	
evm.model.scaffold_14876.2	0	1	2	1	0	0	0	0	0	0	0	0	2	0	3	
evm.model.scaffold_14877.1	48	34	114	228	60	281	136	57	124	16	76	90	55	59	218	
evm.model.scaffold_14878.2	0	1	0	0	0	0	0	4	0	1	0	0	0	0	0	
evm.model.scaffold_14879.1	0	1	2	5	0	3	1	1	0	0	1	1	1	0	5	
evm.model.scaffold_14879.2	1	1	8	12	4	17	10	3	1	1	1	7	1	1	11	
evm.model.scaffold_14879.3	5	2	9	15	7	11	3	5	6	0	7	5	6	8	21	
evm.model.scaffold_14879.4	1	2	8	9	5	9	2	5	4	1	1	0	2	1	11	
evm.model.scaffold_14881.2	0	1	6	7	1	7	2	0	2	0	0	9	0	0	5	
evm.model.scaffold_14883.2	2	0	5	4	3	13	3	6	3	0	3	2	0	2	13	
evm.model.scaffold_14883.3	4	4	9	17	6	18	4	1	6	0	3	4	2	5	16	
evm.model.scaffold_14883.4	1	1	6	9	2	13	2	3	2	0	0	1	1	1	6	
evm.model.scaffold_14883.5	0	3	3	1	1	4	1	0	1	0	0	1	0	0	0	
evm.model.scaffold_14883.7	88	61	133	171	83	290	194	56	123	34	124	118	97	60	239	
evm.model.scaffold_14883.8	2	1	3	3	0	11	1	2	5	0	0	4	0	0	6	
evm.model.scaffold_14884.1	1	5	5	19	2	16	3	5	10	0	1	0	7	3	7	
evm.model.scaffold_14887.2	0	0	0	5	1	6	0	0	6	0	0	3	1	0	4	
evm.model.scaffold_14887.4	81	57	100	144	116	234	139	56	78	34	100	113	74	48	171	
evm.model.scaffold_14887.5	0	0	1	0	0	0	0	1	0	0	0	1	0	0	2	
evm.model.scaffold_14887.6	21	4	18	30	16	32	20	9	7	6	6	12	8	5	19	
evm.model.scaffold_1489.2	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	
evm.model.scaffold_14891.1	3	2	5	9	2	10	5	2	1	0	3	5	3	3	12	
evm.model.scaffold_14892.1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
evm.model.scaffold_14893.1	2	0	8	8	1	11	7	2	4	1	0	5	3	2	11	
evm.model.scaffold_14894.1	0	1	0	2	0	0	0	0	2	0	0	0	0	0	5	
evm.model.scaffold_14894.2	1	4	3	9	2	8	4	1	3	0	1	3	1	1	6	
evm.model.scaffold_14897.2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
evm.model.scaffold_14899.2	10	9	13	26	6	33	23	10	10	0	6	13	14	7	18	
evm.model.scaffold_14899.3	0	1	1	4	0	2	1	1	0	0	0	0	0	0	1	
evm.model.scaffold_149.1	4	10	20	25	4	23	7	4	3	0	1	6	3	4	21	
evm.model.scaffold_14900.1	1	0	5	3	1	4	1	0	0	0	0	2	0	0	4	
evm.model.scaffold_14900.2	1	2	11	10	1	7	0	2	3	0	0	0	3	1	8	
evm.model.scaffold_14900.4	0	0	1	0	0	1	1	2	0	1	0	0	0	1	1	
evm.model.scaffold_14900.5	0	4	2	1	0	6	0	1	0	0	0	1	0	0	2	
evm.model.scaffold_14900.6	0	2	2	0	0	4	0	0	2	0	0	0	0	0	1	
evm.model.scaffold_14902.1	0	0	5	5	0	5	2	2	2	0	0	5	1	0	4	
evm.model.scaffold_14902.2	0	0	1	1	0	1	0	0	0	0	0	0	0	0	4	
evm.model.scaffold_14903.1	5	8	17	17	4	14	0	6	7	4	2	2	0	0	10	
evm.model.scaffold_14904.1	4	3	0	10	1	14	2	1	2	0	1	1	0	1	10	
evm.model.scaffold_14905.2	13	20	42	38	10	75	20	18	27	3	7	17	4	19	68	
evm.model.scaffold_14907.1	1	3	9	12	0	15	2	0	5	0	0	3	0	3	12	
evm.model.scaffold_1491.1	2	2	6	11	0	9	7	0	7	0	1	3	1	3	8	
evm.model.scaffold_14910.1	15	33	54	93	19	85	30	24	30	5	21	16	22	22	92	
evm.model.scaffold_14912.1	1	4	6	9	1	8	5	3	5	1	1	1	1	1	11	
evm.model.scaffold_14912.2	9	2	7	7	1	10	4	2	4	1	1	5	0	4	8	
evm.model.scaffold_14913.2	3	9	14	24	3	24	3	5	6	2	2	10	3	6	20	
evm.model.scaffold_14917.1	0	1	2	4	0	2	1	0	0	1	0	0	0	1	3	
evm.model.scaffold_14917.2	1	1	2	5	0	5	1	1	2	0	1	0	0	0	2	
evm.model.scaffold_14919.1	2	3	9	18	1	22	5	4	12	1	1	6	1	3	17	
evm.model.scaffold_14919.2	3	6	26	23	6	30	19	5	12	2	10	10	7	7	37	
evm.model.scaffold_14919.3	0	2	4	18	2	10	3	6	4	0	4	5	5	2	11	
evm.model.scaffold_1492.1	5	15	21	35	16	52	9	12	4	2	5	11	2	3	27	
evm.model.scaffold_14920.5	0	0	1	2	0	5	0	0	2	0	0	1	0	3	4	
evm.model.scaffold_14921.1	1	1	5	6	1	9	2	2	5	1	0	1	0	0	11	
evm.model.scaffold_14921.2	1	7	7	9	1	22	10	2	13	2	2	1	3	3	13	
evm.model.scaffold_14923.1	2	3	5	16	0	8	4	4	5	1	1	6	4	1	11	
evm.model.scaffold_14923.2	0	1	0	2	1	4	1	0	1	0	2	3	0	0	3	
evm.model.scaffold_14924.1	0	1	0	2	1	1	0	0	0	0	0	2	0	0	0	
evm.model.scaffold_14924.3	0	0	1	1	0	1	0	2	0	0	0	0	0	1	2	
evm.model.scaffold_14925.1	0	0	2	4	0	6	0	0	2	0	0	3	0	0	2	
evm.model.scaffold_14925.2	0	1	0	1	0	2	2	0	0	0	0	1	0	2	1	
evm.model.scaffold_14928.1	1	0	2	8	1	3	2	2	3	0	2	9	2	1	8	
evm.model.scaffold_14929.2	3	1	2	17	2	14	1	1	9	1	1	6	1	2	14	
evm.model.scaffold_1493.1	1	3	21	26	3	35	9	4	13	0	8	12	3	9	30	
evm.model.scaffold_1493.2	1	0	2	2	1	4	0	0	1	0	0	0	0	0	3	
evm.model.scaffold_1493.3	8	8	12	13	19	25	11	4	11	2	12	6	15	6	24	
evm.model.scaffold_1493.4	1	2	0	5	0	4	1	0	1	0	0	0	1	1	4	
evm.model.scaffold_14932.1	6	8	8	24	16	19	9	7	7	2	5	7	13	3	10	
evm.model.scaffold_14932.2	0	0	1	0	0	1	1	0	1	0	2	0	0	1	1	
evm.model.scaffold_14937.1	3	5	10	13	3	16	5	1	8	1	2	5	7	8	9	
evm.model.scaffold_14937.2	1	0	1	6	0	4	0	1	0	0	0	2	0	0	2	
evm.model.scaffold_14938.1	1	1	5	2	1	6	0	3	0	1	0	1	0	0	1	
evm.model.scaffold_14938.2	2	0	0	1	0	6	1	1	1	0	0	1	0	0	2	
evm.model.scaffold_1494.1	17	14	13	35	13	51	30	16	27	2	20	39	13	18	41	
evm.model.scaffold_14940.1	14	8	16	15	11	38	13	17	11	2	9	12	10	10	23	
evm.model.scaffold_14941.2	0	3	2	4	3	2	2	2	0	0	0	1	2	0	5	
evm.model.scaffold_14941.3	4	2	5	10	1	13	3	4	11	3	2	5	3	3	18	
evm.model.scaffold_14941.4	1	3	5	3	0	4	2	2	4	0	0	3	2	1	10	
evm.model.scaffold_14941.5	2	6	7	14	0	14	2	6	6	1	3	5	4	5	20	
evm.model.scaffold_14941.6	3	2	8	11	3	14	11	2	3	4	2	3	2	2	23	
evm.model.scaffold_14941.7	8	17	22	38	11	34	10	11	16	3	2	11	6	12	40	
evm.model.scaffold_14942.1	3	23	34	62	14	64	17	19	0	4	11	18	8	9	69	
evm.model.scaffold_14942.2	1	5	14	20	7	14	5	7	0	1	4	4	2	2	22	
evm.model.scaffold_14942.3	2	3	4	7	0	9	2	1	7	0	0	3	6	3	10	
evm.model.scaffold_14944.1	1	5	11	13	4	20	4	4	4	3	7	1	1	8	19	
evm.model.scaffold_14944.2	0	1	1	8	8	10	2	2	2	2	1	3	3	0	4	
evm.model.scaffold_14945.1	0	3	0	6	1	7	1	1	1	0	0	5	0	1	1	
evm.model.scaffold_14946.1	0	1	3	5	0	5	1	2	2	0	0	1	0	0	7	
evm.model.scaffold_14948.1	1	4	2	6	2	10	1	0	5	1	1	4	0	3	6	
evm.model.scaffold_14949.1	1	2	1	6	1	10	0	1	1	2	0	5	0	3	4	
evm.model.scaffold_14949.2	2	4	5	15	3	24	2	0	7	1	5	5	1	1	11	
evm.model.scaffold_14949.4	0	0	1	1	1	4	2	0	4	0	4	1	0	2	5	
evm.model.scaffold_14955.1	16	26	53	92	21	130	37	24	34	4	24	43	7	27	112	
evm.model.scaffold_14962.1	0	0	1	1	0	2	0	0	0	0	0	0	1	2	1	
evm.model.scaffold_14963.1	2	1	3	15	2	15	5	3	10	1	1	2	2	1	15	
evm.model.scaffold_14963.2	1	2	2	5	0	4	0	0	1	0	0	0	0	0	2	
evm.model.scaffold_14965.1	0	1	3	3	0	6	1	4	1	0	0	0	0	0	6	
evm.model.scaffold_14966.1	2	7	6	15	2	24	9	4	3	2	3	4	6	5	21	
evm.model.scaffold_14967.1	0	1	0	3	1	4	0	0	0	0	0	1	0	3	4	
evm.model.scaffold_14972.1	4	1	5	2	0	4	3	1	2	0	2	1	0	0	7	
evm.model.scaffold_14972.2	2	0	4	1	1	4	0	1	3	0	0	4	0	0	8	
evm.model.scaffold_14974.1	1	1	5	5	1	8	1	2	4	0	1	2	1	0	13	
evm.model.scaffold_14974.2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
evm.model.scaffold_14976.1	0	0	3	0	0	2	0	1	1	0	2	0	0	1	3	
evm.model.scaffold_14977.1	1	0	3	3	0	4	1	2	2	0	1	1	0	3	0	
evm.model.scaffold_14977.2	0	0	0	1	1	11	0	1	0	1	0	0	0	0	1	
evm.model.scaffold_14977.3	0	0	3	2	1	1	0	2	1	0	0	1	1	1	2	
evm.model.scaffold_14977.4	0	0	2	2	0	3	1	0	0	0	0	3	0	3	1	
evm.model.scaffold_14977.5	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	
evm.model.scaffold_14979.1	0	0	4	5	0	1	4	0	1	1	1	0	1	2	6	
evm.model.scaffold_1498.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
evm.model.scaffold_1498.3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
evm.model.scaffold_14981.1	3	1	7	11	2	16	0	3	9	2	2	3	2	2	10	
evm.model.scaffold_14982.1	0	3	5	11	3	17	2	7	8	1	0	1	3	1	16	
evm.model.scaffold_14982.2	2	0	2	10	0	17	4	5	4	0	4	3	0	2	9	
evm.model.scaffold_14983.2	0	2	2	5	1	5	1	0	3	0	2	4	1	1	7	
evm.model.scaffold_14983.5	1	5	6	5	2	11	0	2	8	0	1	7	2	4	11	
evm.model.scaffold_14984.2	0	0	3	3	0	5	3	5	2	1	4	1	4	1	7	
evm.model.scaffold_14987.1	2	0	3	1	1	4	4	1	1	0	0	5	0	3	6	
evm.model.scaffold_14988.1	0	0	2	2	0	0	0	0	0	0	0	0	0	1	1	
evm.model.scaffold_14989.1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	
evm.model.scaffold_14990.4	1	0	3	3	2	5	0	1	3	3	0	1	0	0	7	
evm.model.scaffold_14991.2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	
evm.model.scaffold_14991.4	1	0	0	2	0	2	0	0	2	0	1	2	0	0	2	
evm.model.scaffold_14992.1	1	1	4	2	1	4	3	4	0	0	0	2	0	1	5	
evm.model.scaffold_14992.2	1	0	4	9	1	12	0	1	3	1	0	0	2	0	7	
evm.model.scaffold_14992.6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
evm.model.scaffold_14992.7	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	
evm.model.scaffold_14992.8	0	0	0	1	0	0	0	0	0	2	0	1	0	0	2	
evm.model.scaffold_14993.1	2	2	2	11	3	10	0	6	0	1	3	0	0	1	16	
evm.model.scaffold_14997.1	5	11	27	31	1	28	5	12	10	1	5	11	1	9	28	
evm.model.scaffold_14997.2	2	2	11	20	2	14	6	6	7	2	3	4	3	3	29	
evm.model.scaffold_14997.3	6	12	9	12	0	23	6	6	2	0	2	6	2	0	19	
evm.model.scaffold_1500.1	4	1	2	5	0	3	3	0	4	1	0	3	0	0	1	
evm.model.scaffold_15002.1	2	1	4	8	1	7	0	0	3	2	1	0	0	1	7	
evm.model.scaffold_15002.2	2	2	7	21	1	25	4	7	8	0	8	8	1	6	17	
evm.model.scaffold_15002.3	13	28	42	69	24	120	57	25	44	6	15	38	18	27	102	
evm.model.scaffold_15003.1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	
evm.model.scaffold_15005.1	7	7	7	13	5	18	12	0	5	2	11	3	3	3	7	
evm.model.scaffold_15006.1	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	
evm.model.scaffold_15008.1	0	3	3	5	1	1	0	0	0	0	1	1	0	1	4	
evm.model.scaffold_15009.3	3	0	4	7	2	3	0	0	1	0	1	0	0	0	2	
evm.model.scaffold_15011.1	3	2	7	18	2	17	1	7	2	1	3	5	3	7	17	
evm.model.scaffold_15011.3	2	5	5	8	3	7	0	7	7	0	2	1	2	2	10	
evm.model.scaffold_15013.2	0	0	3	4	0	5	2	3	0	0	0	1	2	0	1	
evm.model.scaffold_15013.3	1	0	2	6	0	2	3	0	1	0	1	0	0	2	7	
evm.model.scaffold_15013.6	2	3	3	9	3	7	3	2	10	0	1	4	1	5	10	
evm.model.scaffold_15015.1	1	1	9	8	4	16	3	3	11	0	5	6	0	6	18	
evm.model.scaffold_15015.2	0	0	0	1	1	1	0	0	1	0	0	2	1	0	4	
evm.model.scaffold_15022.3	6	0	11	15	2	20	7	3	11	0	8	14	4	4	22	
evm.model.scaffold_15022.4	96	45	115	172	116	288	119	41	83	20	103	87	71	54	182	
evm.model.scaffold_15022.5	0	1	1	5	1	10	8	0	3	0	1	1	2	5	13	
evm.model.scaffold_15022.6	10	6	32	46	11	42	20	9	25	2	4	20	2	7	62	
evm.model.scaffold_15024.1	1	0	6	10	0	5	2	0	0	0	1	2	0	3	1	
evm.model.scaffold_15025.2	1	2	7	15	2	28	7	2	10	2	0	6	0	0	18	
evm.model.scaffold_15027.1	1	2	2	3	2	3	1	0	0	0	0	1	0	0	6	
evm.model.scaffold_15027.2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	
evm.model.scaffold_15029.1	1	4	7	20	1	15	8	2	5	0	2	7	2	2	9	
evm.model.scaffold_1503.1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	
evm.model.scaffold_15031.1	1	1	1	4	0	0	3	0	1	0	0	0	0	0	0	
evm.model.scaffold_15033.1	0	0	1	1	1	2	0	0	0	0	0	0	0	0	5	
evm.model.scaffold_15033.2	12	19	32	57	13	66	22	16	38	6	5	19	8	22	77	
evm.model.scaffold_15033.3	2	0	2	1	1	3	0	0	4	1	0	0	1	0	0	
evm.model.scaffold_15033.4	0	0	2	4	2	2	0	0	2	0	2	5	0	3	0	
evm.model.scaffold_15033.5	0	0	1	1	1	3	0	0	1	0	0	0	0	0	0	
evm.model.scaffold_15034.1	0	1	0	0	0	2	0	1	0	0	0	1	0	0	0	
evm.model.scaffold_15034.2	3	2	4	3	0	6	1	1	1	0	4	4	2	0	4	
evm.model.scaffold_15036.1	3	9	6	5	2	15	3	7	1	1	0	2	1	1	11	
evm.model.scaffold_15036.2	0	1	1	3	0	1	1	0	1	0	0	1	5	0	0	
evm.model.scaffold_15036.3	0	0	1	1	2	0	0	0	0	0	0	1	0	0	0	
evm.model.scaffold_15038.1	0	2	0	5	0	1	1	1	0	0	1	0	0	0	0	
evm.model.scaffold_15038.3	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	
evm.model.scaffold_15039.1	3	2	4	6	1	2	4	0	5	1	1	2	0	5	7	
evm.model.scaffold_15039.5	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
evm.model.scaffold_15040.1	1	0	1	2	0	5	1	0	1	0	0	1	0	1	3	
evm.model.scaffold_15040.2	0	0	0	0	0	1	0	0	1	0	1	1	0	2	1	
evm.model.scaffold_15041.1	1	2	0	1	2	4	2	4	1	1	1	1	1	0	2	
evm.model.scaffold_15045.1	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	
evm.model.scaffold_15045.2	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	
evm.model.scaffold_15046.1	1	3	2	5	3	10	2	0	1	2	1	2	0	2	7	
evm.model.scaffold_1505.2	3	6	15	28	10	24	8	4	12	2	3	8	2	13	26	
evm.model.scaffold_1505.5	11	16	17	25	11	36	6	3	21	3	4	10	4	2	27	
evm.model.scaffold_1505.6	4	2	4	9	2	11	6	6	6	0	1	5	0	8	21	
evm.model.scaffold_15051.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
evm.model.scaffold_15051.4	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	
evm.model.scaffold_15052.1	0	0	3	3	1	6	2	1	1	1	2	0	0	1	2	
evm.model.scaffold_15052.2	0	1	5	7	1	8	0	3	0	0	1	0	0	1	8	
evm.model.scaffold_15052.3	0	0	6	2	0	3	0	5	1	0	1	2	0	1	5	
evm.model.scaffold_15052.4	0	0	2	1	0	1	0	0	0	0	0	0	0	0	1	
evm.model.scaffold_15054.1	0	1	2	3	3	11	3	1	3	1	1	3	0	0	7	
evm.model.scaffold_15055.1	6	0	8	18	3	18	2	5	9	1	1	2	2	2	9	
evm.model.scaffold_15056.1	2	1	2	8	1	3	3	1	1	0	0	4	0	0	8	
evm.model.scaffold_15056.2	0	0	0	0	0	1	0	0	0	0	0	2	0	1	2	
evm.model.scaffold_15056.3	12	14	33	65	23	134	42	26	38	6	20	34	14	31	75	
evm.model.scaffold_15059.1	0	0	0	1	0	5	0	1	2	0	0	2	0	1	1	
evm.model.scaffold_15059.2	0	1	0	4	1	2	0	0	0	0	0	0	0	0	1	
evm.model.scaffold_15059.4	3	2	4	13	1	8	1	3	3	1	2	7	1	2	8	
evm.model.scaffold_15062.1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
evm.model.scaffold_15063.1	1	1	2	9	3	5	0	2	3	0	1	0	2	0	4	
evm.model.scaffold_15063.2	1	1	3	3	1	2	0	2	0	0	0	2	0	1	3	
evm.model.scaffold_15065.1	4	1	4	3	2	6	2	1	2	0	2	2	2	4	5	
evm.model.scaffold_15067.1	0	0	2	2	0	2	4	0	0	0	0	0	0	0	4	
evm.model.scaffold_15069.1	1	0	7	13	3	14	7	1	4	1	0	2	2	4	12	
evm.model.scaffold_15069.2	4	7	7	16	1	16	6	4	6	0	7	2	4	8	20	
evm.model.scaffold_1507.2	4	4	10	21	1	11	4	1	6	1	4	1	2	5	27	
evm.model.scaffold_1507.4	0	0	0	3	0	1	0	0	0	0	0	1	0	0	1	
evm.model.scaffold_1507.5	0	1	5	6	0	8	2	6	1	0	0	6	1	1	12	
evm.model.scaffold_1507.6	0	1	6	7	0	15	2	1	10	1	2	2	0	2	9	
evm.model.scaffold_1507.7	3	6	13	13	4	22	5	1	5	4	3	11	8	14	15	
evm.model.scaffold_15075.1	2	5	10	16	3	31	9	5	10	0	5	6	2	3	26	
evm.model.scaffold_15075.2	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	
evm.model.scaffold_15079.1	0	0	1	0	1	0	0	0	2	0	0	2	0	0	1	
evm.model.scaffold_15079.2	2	3	4	10	1	8	1	5	1	0	0	2	0	1	9	
