"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
2358 0.0574602581259384 5 6 "GO:0000393" "spliceosomal conformational changes to generate catalytic conformation" 0.260980854132019
105 0.901098651335942 3 13 "GO:0000394;GO:0006388" "RNA splicing, via endonucleolytic cleavage and ligation" 0.964088363533099
-795 0.459687101833154 2 8 "GO:0000395" "mRNA 5'-splice site recognition" 0.742184273651555
-776 0.137398625073776 3 34 "GO:0000413;GO:0018208" "peptidyl-proline modification" 0.419944515069777
-33 0.978722462031683 -1 6 "GO:0000414" "obsolete regulation of histone H3-K36 methylation" 0.989991663881575
516 0.309197112116547 2 36 "GO:0000422;GO:0061726" "autophagy of mitochondrion" 0.621203345865732
-375 0.682516102007246 2 11 "GO:0000423" "mitophagy" 0.86774762929674
362 0.720657821256343 3 9 "GO:0000447" "endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.886998019810612
1011 0.415554033116489 2 6 "GO:0000454" "snoRNA guided rRNA pseudouridine synthesis" 0.707445716585093
-389 0.753979554432638 3 6 "GO:0000459;GO:0000467" "exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.901430067594427
-256 0.618388238141029 2 35 "GO:0000460" "maturation of 5.8S rRNA" 0.837891735865001
644 0.18103346688318 3 40 "GO:0000462" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.479432990284568
1787 0.0418488019529899 2 12 "GO:0000463" "maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.217308799129169
-191 0.773084419354583 2 21 "GO:0000466" "maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.911358525978114
321 0.570149934450189 -1 29 "GO:0000469" "obsolete cleavage involved in rRNA processing" 0.810911257831128
1418 0.0121026381248008 2 29 "GO:0000470" "maturation of LSU-rRNA" 0.105183357831449
368 0.588553835732498 2 20 "GO:0000479;GO:0000478" "obsolete endonucleolytic cleavage involved in rRNA processing" 0.818563380731405
-350 0.778183350188691 2 6 "GO:0000480" "endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.914511604317404
1221 0.164406904493909 2 12 "GO:0000491;GO:0000492" "small nucleolar ribonucleoprotein complex assembly" 0.458409338486712
-426 0.0575714702492408 4 187 "GO:0000578;GO:0007351;GO:0008595" "embryonic axis specification" 0.261115777993455
-381 0.664720792557278 5 12 "GO:0000706" "meiotic DNA double-strand break processing" 0.860068397985376
2049 0.0565924422501365 6 8 "GO:0000707;GO:0000730;GO:0090735;GO:0042148" "DNA recombinase assembly" 0.259048773840204
1841 0.109233721533642 5 7 "GO:0000711;GO:0043150" "meiotic DNA repair synthesis" 0.370538785485472
146 0.843621056441949 2 17 "GO:0000712" "resolution of meiotic recombination intermediates" 0.94428171139618
-218 0.731294688372103 4 23 "GO:0000715" "nucleotide-excision repair, DNA damage recognition" 0.891087371561903
24 0.93033731261818 2 119 "GO:0000723;GO:0032200" "telomere organization" 0.975073666086872
453 0.0976546589432689 5 125 "GO:0000724;GO:0000725" "recombinational repair" 0.346190894308006
-69 0.847166648991193 -1 72 "GO:0000726;GO:0006303" "obsolete non-recombinational repair" 0.945139074622758
1573 0.247286825663919 2 5 "GO:0000727" "double-strand break repair via break-induced replication" 0.556438741397443
46 0.936355701779752 5 28 "GO:0000729" "DNA double-strand break processing" 0.977669429358762
26 0.938690396619503 2 79 "GO:0000731" "DNA synthesis involved in DNA repair" 0.977669429358762
2075 0.0236462986714354 -1 11 "GO:0000733" "obsolete DNA strand renaturation" 0.155691697515313
-376 0.413309688135512 -1 44 "GO:0000737;GO:0006308;GO:0006309" "DNA catabolic process" 0.706460646186184
169 0.87530309956125 2 8 "GO:0000741;GO:0007344" "karyogamy" 0.952863482852877
-579 0.0857973082369766 3 82 "GO:0000768;GO:0006949;GO:0140253;GO:0007520" "syncytium formation" 0.328096683198408
894 0.35267483035007 2 10 "GO:0000820" "regulation of glutamine family amino acid metabolic process" 0.652916768774538
-1150 0.354054798390804 6 6 "GO:0000821" "regulation of arginine metabolic process" 0.654010420009695
-477 3.04170992654889e-07 2 1202 "GO:0000902;GO:0000904;GO:0048812;GO:0120039;GO:0048858;GO:0031175;GO:0032990;GO:0048667" "cell morphogenesis" 3.98091546101184e-05
281 0.218014626556334 3 180 "GO:0000910;GO:0061640" "cytokinesis" 0.522489700935135
234 0.711906760288669 2 23 "GO:0000912;GO:0000915" "assembly of actomyosin apparatus involved in cytokinesis" 0.883043208169184
-522 0.587264664749426 5 10 "GO:0000916;GO:0036213" "actomyosin contractile ring contraction" 0.817860609747411
-438 0.603818203257847 2 13 "GO:0000920" "septum digestion after cytokinesis" 0.827765313700849
1145 1.1465971653868e-07 2 202 "GO:0000956;GO:0006402" "mRNA catabolic process" 1.83828190540639e-05
1683 0.0067476526569591 2 24 "GO:0000959" "mitochondrial RNA metabolic process" 0.070476704379607
1211 0.186537110890542 4 11 "GO:0000963;GO:0090646" "mitochondrial RNA processing" 0.486057634241793
703 0.0841127175256442 2 56 "GO:0000966" "RNA 5'-end processing" 0.3253406860627
-790 0.388668581133446 4 11 "GO:0000972" "transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery" 0.685703331721813
-1734 0.162489740872389 2 6 "GO:0000973" "post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery" 0.456165306979545
-387 0.0139271808688382 3 387 "GO:0001101" "response to acid chemical" 0.114213568940997
1181 0.244013158061261 5 9 "GO:0001109;GO:0001111;GO:0001112;GO:0001120;GO:0001113" "RNA polymerase II promoter clearance" 0.553248927961878
-2333 0.0861719564271153 3 5 "GO:0001178;GO:0010630" "regulation of transcription, start site selection" 0.328658789839612
669 0.533825661797829 6 8 "GO:0001188" "RNA polymerase I preinitiation complex assembly" 0.789646850020714
-471 0.641855509278088 -1 9 "GO:0001302" "obsolete replicative cell aging" 0.850050541316311
457 0.651786858451414 -1 9 "GO:0001306;GO:0007571" "obsolete age-dependent response to oxidative stress" 0.854266859229204
-228 0.779448103110778 4 14 "GO:0001325;GO:0090656;GO:0090737" "formation of extrachromosomal circular DNA" 0.91503649876942
-502 0.00165115245520695 4 376 "GO:0001501" "skeletal system development" 0.0310523187543759
-388 0.464005385527024 3 33 "GO:0001502;GO:0098743" "cell aggregation" 0.744837071360349
121 0.608430247429533 2 168 "GO:0001503" "ossification" 0.830017749172989
-305 0.670840738956937 2 18 "GO:0001504" "neurotransmitter uptake" 0.862609723877826
-296 0.0518750618857999 -1 415 "GO:0001505" "obsolete regulation of neurotransmitter levels" 0.246791373793498
-568 0.0402412046362427 4 122 "GO:0001508" "action potential" 0.212754430901327
16 0.968917872736285 5 53 "GO:0001510" "RNA methylation" 0.98765022750286
241 0.83387217377859 6 7 "GO:0001514;GO:0006451" "translational readthrough" 0.940766683002746
1005 0.0346413078290302 4 41 "GO:0001516;GO:0046457;GO:0019371" "prostanoid biosynthetic process" 0.194345230122666
534 0.482700323462129 2 16 "GO:0001522" "pseudouridine synthesis" 0.756220740484183
-71 0.815147334754156 4 102 "GO:0001523;GO:0016101;GO:0006721;GO:0006720" "isoprenoid metabolic process" 0.930332774119666
-771 5.23406017907104e-05 2 261 "GO:0001525" "angiogenesis" 0.00236380478368891
-216 0.494459291745763 3 93 "GO:0001539;GO:0060285;GO:0060294;GO:0030317;GO:0097722" "cilium or flagellum-dependent cell motility" 0.764736814726806
782 0.0593909818665429 2 54 "GO:0001541" "ovarian follicle development" 0.264533592881188
732 0.524091524911924 2 7 "GO:0001542" "ovulation from ovarian follicle" 0.784363815463283
1194 0.336071960412257 2 6 "GO:0001547" "antral ovarian follicle growth" 0.642394699104674
-1377 0.230928831032117 2 7 "GO:0001553" "luteinization" 0.538526033966897
-657 0.596401268241942 3 6 "GO:0001554" "luteolysis" 0.822333802031193
221 0.827160940733547 2 9 "GO:0001555" "oocyte growth" 0.937205496983081
661 0.128676601288887 3 49 "GO:0001556" "oocyte maturation" 0.408686725026938
-128 0.401675456697984 4 416 "GO:0001558" "regulation of cell growth" 0.6954494340724
1122 0.268163671501963 2 9 "GO:0001561" "fatty acid alpha-oxidation" 0.582368312002062
120 0.88672900320985 2 13 "GO:0001562;GO:0042832" "response to protozoan" 0.957258143169261
-783 1.53663246565269e-07 2 433 "GO:0001568;GO:0001944;GO:0048514" "vasculature development" 2.37070211558766e-05
-323 0.548645680275161 2 32 "GO:0001569" "branching involved in blood vessel morphogenesis" 0.799445165088753
-1160 0.000911922688620811 3 76 "GO:0001570" "vasculogenesis" 0.0194938673404175
24 0.935930356855144 3 105 "GO:0001578;GO:0035082" "microtubule bundle formation" 0.977669429358762
-165 0.667502978025121 3 63 "GO:0001649" "osteoblast differentiation" 0.861827380325166
-538 6.22426673927031e-07 3 865 "GO:0001654;GO:0007423" "sensory organ development" 6.97558020843292e-05
-532 0.000207570934136725 2 470 "GO:0001655" "urogenital system development" 0.00661881713312026
-670 0.0809771374250499 5 63 "GO:0001656" "metanephros development" 0.31839753666882
-700 0.0239507020065318 5 97 "GO:0001657;GO:0072164;GO:0072163;GO:0001823" "mesonephric tubule development" 0.156248098373083
-557 0.219693060343974 2 45 "GO:0001658" "branching involved in ureteric bud morphogenesis" 0.524576241353497
739 0.254841380685759 2 22 "GO:0001659" "temperature homeostasis" 0.567138038481958
-1020 0.342588852993899 2 8 "GO:0001661" "conditioned taste aversion" 0.646260323291685
-472 0.359522166251563 3 35 "GO:0001662;GO:0002209;GO:0042596" "fear response" 0.658559169429099
-7 0.967938947020278 2 349 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 0.98765022750286
-829 3.81827034488106e-08 4 423 "GO:0001667" "ameboidal-type cell migration" 7.42017203688553e-06
-667 0.466832515857528 4 11 "GO:0001675" "acrosome assembly" 0.74639664028779
469 0.108762869137799 3 109 "GO:0001676" "long-chain fatty acid metabolic process" 0.369632368723214
433 0.183387555205712 2 88 "GO:0001678;GO:0071326;GO:0071331;GO:0071333" "intracellular glucose homeostasis" 0.481600164974128
2022 0.0100444593090212 2 15 "GO:0001682;GO:0099116" "tRNA 5'-end processing" 0.0937629076401062
1506 0.190051413233545 5 7 "GO:0001696" "gastric acid secretion" 0.489561832124637
1674 0.218104620209474 6 5 "GO:0001697;GO:0001698;GO:1900139" "gastrin-induced gastric acid secretion" 0.522489700935135
-551 0.0143230776192693 2 186 "GO:0001700" "embryonic development via the syncytial blastoderm" 0.116123763302622
-291 0.0741687525932937 2 359 "GO:0001701" "in utero embryonic development" 0.30085022794484
-853 0.0695881150038886 5 42 "GO:0001702" "gastrulation with mouth forming second" 0.289715996936711
-681 0.074119664915504 5 64 "GO:0001703;GO:0010004" "gastrulation with mouth forming first" 0.30085022794484
-352 0.156266973160042 2 152 "GO:0001704" "formation of primary germ layer" 0.446906092867288
1353 0.275771783698325 4 6 "GO:0001705" "ectoderm formation" 0.589320606044671
-879 0.0182583864407013 2 67 "GO:0001706;GO:0035987" "endoderm formation" 0.133665561922623
-479 0.0939455621837194 3 114 "GO:0001707;GO:0048332" "mesoderm morphogenesis" 0.340958059017653
-37 0.878016303483935 2 165 "GO:0001708" "cell fate specification" 0.954197348626076
-365 0.0893245940363764 2 204 "GO:0001709" "cell fate determination" 0.334016688953517
-557 0.266088639699916 2 37 "GO:0001711" "endodermal cell fate commitment" 0.580036334118575
716 0.414981789475128 2 12 "GO:0001714" "endodermal cell fate specification" 0.707222486288598
1897 0.0245255339122471 3 13 "GO:0001731" "formation of translation preinitiation complex" 0.158390985880403
-628 0.322258606049429 4 23 "GO:0001737" "establishment of imaginal disc-derived wing hair orientation" 0.633004449499389
-893 0.000601923775201633 2 138 "GO:0001738;GO:0001736;GO:0007164" "morphogenesis of a polarized epithelium" 0.0144434298811478
-1905 0.0974430856581227 3 7 "GO:0001743" "lens placode formation" 0.345823192211146
1013 0.456174309936189 3 5 "GO:0001744" "insect visual primordium formation" 0.740244395146959
-545 0.00174374564821753 2 314 "GO:0001745;GO:0048749" "compound eye development" 0.0319813133698287
-1399 0.126946987385828 6 11 "GO:0001746;GO:0055034" "Bolwig's organ development" 0.405433779932926
-577 0.0246343930908321 2 142 "GO:0001751" "compound eye photoreceptor cell differentiation" 0.158933966691656
-309 0.511135229101043 5 42 "GO:0001752;GO:0042706;GO:0046552" "photoreceptor cell fate commitment" 0.775836739461536
-531 0.00731351585881635 2 241 "GO:0001754;GO:0046530" "photoreceptor cell differentiation" 0.0744469479406179
