"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-1312 0.267062558655241 5 6 "GO:0000393" "spliceosomal conformational changes to generate catalytic conformation" 0.602955673664926
-605 0.451499574941157 3 13 "GO:0000394;GO:0006388" "RNA splicing, via endonucleolytic cleavage and ligation" 0.743754156409339
871 0.394893208449533 2 8 "GO:0000395" "mRNA 5'-splice site recognition" 0.705044231942219
-1249 0.0119819829370872 3 34 "GO:0000413;GO:0018208" "peptidyl-proline modification" 0.116535334813845
-457 0.698877409119935 -1 6 "GO:0000414" "obsolete regulation of histone H3-K36 methylation" 0.889136703790206
290 0.548259472436109 2 36 "GO:0000422;GO:0061726" "autophagy of mitochondrion" 0.803556996434124
1175 0.178445111194314 2 11 "GO:0000423" "mitophagy" 0.505713922889375
-2352 0.0148042863790497 3 9 "GO:0000447" "endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.133502075874779
-1944 0.133143707675467 2 5 "GO:0000454" "snoRNA guided rRNA pseudouridine synthesis" 0.437000355269711
735 0.53418311912814 3 6 "GO:0000459;GO:0000467" "exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.794566027509637
-1084 0.0291849497775025 2 34 "GO:0000460" "maturation of 5.8S rRNA" 0.200382287607479
-1901 3.39405075070159e-05 3 40 "GO:0000462" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.00239506847974509
-1124 0.197848389156082 2 11 "GO:0000463" "maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.534397461137707
-538 0.394939250785187 2 21 "GO:0000466" "maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.705044231942219
-900 0.100485459741051 -1 28 "GO:0000469" "obsolete cleavage involved in rRNA processing" 0.379644946350634
-1596 0.00421682689431193 2 27 "GO:0000470" "maturation of LSU-rRNA" 0.064688569096075
-1498 0.0242165248571413 2 19 "GO:0000479;GO:0000478" "obsolete endonucleolytic cleavage involved in rRNA processing" 0.176613772668119
-2835 0.016466277728176 2 6 "GO:0000480" "endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.143060642751909
-2332 0.00528202457308786 2 12 "GO:0000491;GO:0000492" "small nucleolar ribonucleoprotein complex assembly" 0.0735660922449145
22 0.92068065614319 4 176 "GO:0000578;GO:0007351;GO:0008595" "embryonic axis specification" 0.972903245778751
-250 0.764812865067245 5 12 "GO:0000706" "meiotic DNA double-strand break processing" 0.914440182897607
-1595 0.17714815268946 5 6 "GO:0000711;GO:0043150" "DNA synthesis involved in double-strand break repair via homologous recombination" 0.50482249951929
-64 0.929699013542327 2 16 "GO:0000712" "resolution of meiotic recombination intermediates" 0.975190635467114
-926 0.134016655957607 4 22 "GO:0000715" "nucleotide-excision repair, DNA damage recognition" 0.4380544426077
356 0.602534095457133 3 18 "GO:0000722" "telomere maintenance via recombination" 0.835340327493615
-558 0.0432915435921301 2 111 "GO:0000723;GO:0032200" "telomere organization" 0.24352931209355
41 0.877272392398306 5 120 "GO:0000724;GO:0000725" "recombinational repair" 0.960855868646132
-345 0.326924220200098 -1 68 "GO:0000726;GO:0006303" "obsolete non-recombinational repair" 0.649857816116063
-1872 0.148171019540238 2 5 "GO:0000727" "double-strand break repair via break-induced replication" 0.460839444221377
-289 0.604124573159821 5 27 "GO:0000729" "DNA double-strand break processing" 0.836230942351341
-1177 0.198598936647345 5 10 "GO:0000730;GO:0090735;GO:0042148;GO:0000707" "DNA recombinase assembly" 0.534474406142272
-549 0.104292058618959 2 74 "GO:0000731" "DNA synthesis involved in DNA repair" 0.38531638411228
940 0.304672879836854 -1 10 "GO:0000733" "obsolete DNA strand renaturation" 0.63382039755894
-144 0.745584627966118 -1 43 "GO:0000737;GO:0006308;GO:0006309" "DNA catabolic process" 0.90810334790847
-867 0.396797207192136 2 8 "GO:0000741;GO:0007344" "karyogamy" 0.70609668335031
-29 0.933020598866483 3 72 "GO:0000768;GO:0006949;GO:0140253;GO:0007520" "syncytium formation" 0.975463924421476
2480 0.0101972485666448 2 9 "GO:0000820" "regulation of glutamine family amino acid metabolic process" 0.107468959865294
2676 0.0235517035194362 6 6 "GO:0000821" "regulation of arginine metabolic process" 0.173121376217522
479 1.51013050640952e-07 2 1136 "GO:0000902;GO:0000904;GO:0048812;GO:0120039;GO:0048858;GO:0031175;GO:0032990;GO:0048667" "cell morphogenesis" 3.68878417161802e-05
-143 0.518179020758738 3 175 "GO:0000910;GO:0061640" "cytokinesis" 0.783374187297964
582 0.368921439491167 2 20 "GO:0000912;GO:0000915" "assembly of actomyosin apparatus involved in cytokinesis" 0.682332150675904
-370 0.685976260255493 5 10 "GO:0000916;GO:0036213" "actomyosin contractile ring contraction" 0.884775635435141
-2327 0.00377177819818572 2 13 "GO:0000920" "septum digestion after cytokinesis" 0.0606444641434874
-411 0.0479754079415841 2 198 "GO:0000956;GO:0006402" "mRNA catabolic process" 0.257994763621508
-139 0.814175073942562 2 24 "GO:0000959" "mitochondrial RNA metabolic process" 0.938401999211883
317 0.716909421129738 4 11 "GO:0000963;GO:0090646" "mitochondrial RNA processing" 0.896229121665925
-435 0.270130886738362 2 54 "GO:0000966" "RNA 5'-end processing" 0.605349912274295
-80 0.926788680802031 4 11 "GO:0000972" "transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery" 0.974534740493069
183 0.877264237363175 2 6 "GO:0000973" "post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery" 0.960855868646132
343 0.0265095502428971 3 364 "GO:0001101" "response to acid chemical" 0.188114138092335
754 0.434759206402204 5 9 "GO:0001109;GO:0001111;GO:0001112;GO:0001120;GO:0001113" "RNA polymerase II promoter clearance" 0.731969036278948
2367 0.0675571610157973 3 5 "GO:0001178;GO:0010630" "regulation of transcription, start site selection" 0.313958443817471
-1286 0.209060353647083 6 8 "GO:0001188" "RNA polymerase I preinitiation complex assembly" 0.545050207722752
1381 0.177208208148051 -1 8 "GO:0001302" "obsolete replicative cell aging" 0.50482249951929
-1829 0.0739703356841345 -1 8 "GO:0001306;GO:0007571" "obsolete age-dependent response to oxidative stress" 0.330385515648115
