"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
570 0.653744715857942 5 6 "GO:0000393" "spliceosomal conformational changes to generate catalytic conformation" 0.878942739895703
-59 0.945489900422633 3 13 "GO:0000394;GO:0006388" "RNA splicing, via endonucleolytic cleavage and ligation" 0.987877009768688
274 0.803082456221634 2 8 "GO:0000395" "mRNA 5'-splice site recognition" 0.940191360474959
-257 0.630581595218248 3 34 "GO:0000413;GO:0018208" "peptidyl-proline modification" 0.869805539293385
1554 0.221289866741638 -1 6 "GO:0000414" "obsolete regulation of histone H3-K36 methylation" 0.61509784912801
1216 0.0191833322216431 2 36 "GO:0000422;GO:0061726" "autophagy of mitochondrion" 0.242888174900804
1880 0.0451278410725773 2 11 "GO:0000423" "mitophagy" 0.338343577686459
-1291 0.213327428303317 3 9 "GO:0000447" "endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.60740239878129
-183 0.885458587448582 2 6 "GO:0000454" "snoRNA guided rRNA pseudouridine synthesis" 0.968089348031494
1810 0.154277825985157 3 6 "GO:0000459;GO:0000467" "exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.527546505442068
-316 0.548731244307339 2 35 "GO:0000460" "maturation of 5.8S rRNA" 0.835308199981969
-873 0.0765828636591959 3 40 "GO:0000462" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.413239076389218
-63 0.94445264539747 2 12 "GO:0000463" "maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.9877592545035
-300 0.658391688186345 2 21 "GO:0000466" "maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.880987776271539
345 0.543843593273908 -1 30 "GO:0000469" "obsolete cleavage involved in rRNA processing" 0.834298413022252
9 0.986958223369413 2 29 "GO:0000470" "maturation of LSU-rRNA" 0.99509964245277
-54 0.936291508072059 -1 21 "GO:0000478" "obsolete endonucleolytic cleavage involved in rRNA processing" 0.985634530265054
-195 0.808103003150382 2 15 "GO:0000479" "endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.940593289226069
-1937 0.127326239761533 2 6 "GO:0000480" "endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.49186929378149
-1130 0.208460409400715 2 12 "GO:0000491;GO:0000492" "small nucleolar ribonucleoprotein complex assembly" 0.601803120855206
-220 0.330012287770729 4 193 "GO:0000578;GO:0007351;GO:0008595" "embryonic axis specification" 0.707778410279942
-1215 0.176273332065905 5 12 "GO:0000706" "meiotic DNA double-strand break processing" 0.560179092434664
-1500 0.172745108184429 6 8 "GO:0000707;GO:0000730;GO:0090735;GO:0042148" "DNA recombinase assembly" 0.555548267921124
1094 0.352387658440262 5 7 "GO:0000711" "meiotic DNA repair synthesis" 0.724575488141052
-426 0.572683278001869 2 17 "GO:0000712" "resolution of meiotic recombination intermediates" 0.848188457816115
-961 0.138831486080017 4 23 "GO:0000715" "nucleotide-excision repair, DNA damage recognition" 0.507654416410841
-837 0.00313576517149053 2 122 "GO:0000723;GO:0032200" "telomere organization" 0.11161635247689
-51 0.854051110150791 5 127 "GO:0000724;GO:0000725" "recombinational repair" 0.959813521106494
-456 0.215400132404295 -1 72 "GO:0000726;GO:0006303" "obsolete non-recombinational repair" 0.609936497364621
-1776 0.201822209843595 2 5 "GO:0000727" "double-strand break repair via break-induced replication" 0.592749065622832
-693 0.239150572479141 5 28 "GO:0000729" "DNA double-strand break processing" 0.630416591059768
-985 0.00427099113189075 2 82 "GO:0000731" "DNA synthesis involved in DNA repair" 0.128369228786548
688 0.463394310744285 -1 11 "GO:0000733" "obsolete DNA strand renaturation" 0.79566262859243
-432 0.358462948166045 -1 44 "GO:0000737;GO:0006308;GO:0006309" "DNA catabolic process" 0.725601034903978
-1841 0.0943963920531 2 8 "GO:0000741;GO:0007344" "karyogamy" 0.445783842647239
-632 0.0550470195987779 3 90 "GO:0000768;GO:0006949;GO:0140253;GO:0007520" "syncytium formation" 0.364012895410452
1733 0.0782900390363539 2 10 "GO:0000820" "regulation of glutamine family amino acid metabolic process" 0.417115049779565
1184 0.351482285858667 6 6 "GO:0000821" "regulation of arginine metabolic process" 0.724575488141052
-113 0.228935321442922 2 1238 "GO:0000902;GO:0000904;GO:0048812;GO:0120039;GO:0048858;GO:0031175;GO:0032990;GO:0048667" "cell morphogenesis" 0.626134841650521
-103 0.655761070879381 3 183 "GO:0000910;GO:0061640" "cytokinesis" 0.879911468944098
-1089 0.093488984455438 2 23 "GO:0000912;GO:0000915" "assembly of actomyosin apparatus involved in cytokinesis" 0.443790783668641
-395 0.68826247510135 5 10 "GO:0000916;GO:0036213" "actomyosin contractile ring contraction" 0.89252101609917
-1254 0.146541192074841 2 13 "GO:0000920" "septum digestion after cytokinesis" 0.519853782979586
769 0.000500884218947282 2 202 "GO:0000956;GO:0006402" "mRNA catabolic process" 0.0374614801891735
858 0.168278103142404 2 25 "GO:0000959" "mitochondrial RNA metabolic process" 0.549144981944162
1724 0.0661987554257461 4 11 "GO:0000963;GO:0090646" "mitochondrial RNA processing" 0.393885656705272
414 0.320320648267364 2 56 "GO:0000966" "RNA 5'-end processing" 0.700534340977806
-1578 0.092731481665484 4 11 "GO:0000972" "transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery" 0.443786376541959
-1969 0.121220878380274 2 6 "GO:0000973" "post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery" 0.479810885995029
-168 0.2918739953641 3 395 "GO:0001101" "response to acid chemical" 0.677502339408815
613 0.554401726988994 5 9 "GO:0001109;GO:0001111;GO:0001112;GO:0001120;GO:0001113" "RNA polymerase II promoter clearance" 0.838446251585518
1024 0.461953935697727 3 5 "GO:0001178;GO:0010630" "regulation of transcription, start site selection" 0.794792541926591
-794 0.47068534973068 6 8 "GO:0001188" "RNA polymerase I preinitiation complex assembly" 0.798989667067707
51 0.96063356047541 -1 9 "GO:0001302" "obsolete replicative cell aging" 0.990985575136782
-1296 0.211558603140909 -1 9 "GO:0001306;GO:0007571" "obsolete age-dependent response to oxidative stress" 0.605836817091396
-794 0.339771641873018 4 14 "GO:0001325;GO:0090656;GO:0090737" "formation of extrachromosomal circular DNA" 0.715824173117344
684 0.590248355614255 2 6 "GO:0001408;GO:0015854;GO:1903790" "guanine transport" 0.854896947058946
47 0.768662240583324 4 389 "GO:0001501" "skeletal system development" 0.925515080692516
-348 0.528127504717008 3 32 "GO:0001502;GO:0098743" "cell aggregation" 0.828613193375781
-32 0.891445146459283 2 174 "GO:0001503" "ossification" 0.971332404205676
2059 0.00394693336630015 2 19 "GO:0001504" "neurotransmitter uptake" 0.122398122342745
167 0.278649971174335 -1 425 "GO:0001505" "obsolete regulation of neurotransmitter levels" 0.666675759893639
57 0.836756518819909 4 127 "GO:0001508" "action potential" 0.952586179497385
867 0.0429744001047828 5 53 "GO:0001510" "RNA methylation" 0.331417600748302
139 0.906115397379264 6 7 "GO:0001514;GO:0006451" "translational readthrough" 0.975379125856764
-1010 0.0356629298623001 4 42 "GO:0001516;GO:0046457;GO:0019371" "prostanoid biosynthetic process" 0.312565593037919
432 0.578742128437255 2 16 "GO:0001522" "pseudouridine synthesis" 0.850585680495082
75 0.806042145905402 4 105 "GO:0001523;GO:0016101;GO:0006721;GO:0006720" "isoprenoid metabolic process" 0.940593289226069
-611 0.00146960003056938 2 269 "GO:0001525" "angiogenesis" 0.0705408014673302
362 0.253529247256116 3 97 "GO:0001539;GO:0060285;GO:0060294;GO:0030317;GO:0097722" "cilium or flagellum-dependent cell motility" 0.643693679102315
