	SRR14729874.clean.fastq.gz.sam.counts	SRR14729875.clean.fastq.gz.sam.counts	SRR14729876.clean.fastq.gz.sam.counts	SRR14729877.clean.fastq.gz.sam.counts	SRR14729879.clean.fastq.gz.sam.counts	SRR14729880.clean.fastq.gz.sam.counts	SRR14729882.clean.fastq.gz.sam.counts	SRR14729883.clean.fastq.gz.sam.counts	SRR14729884.clean.fastq.gz.sam.counts	SRR14729885.clean.fastq.gz.sam.counts	SRR14729886.clean.fastq.gz.sam.counts	SRR14729887.clean.fastq.gz.sam.counts	SRR14729888.clean.fastq.gz.sam.counts	SRR14729891.clean.fastq.gz.sam.counts	SRR14729892.clean.fastq.gz.sam.counts	
Porites_compressa_HIv1___RNAseq.g151.t1	43	156	32	29	7	14	131	11	55	70	25	11	0	6	25	
Porites_compressa_HIv1___RNAseq.g1510.t1	0	0	1	0	2	10	0	0	0	0	0	0	2	0	1	
Porites_compressa_HIv1___RNAseq.g15100.t1	19	5	394	43	12	545	355	1	1598	4	1219	295	67	1	176	
Porites_compressa_HIv1___RNAseq.g15101.t1	57	9	75	53	59	99	66	26	90	74	107	72	75	13	69	
Porites_compressa_HIv1___RNAseq.g15102.t1	116	48	165	123	123	113	158	58	124	78	232	74	60	60	71	
Porites_compressa_HIv1___RNAseq.g15103.t1	104	32	54	32	57	53	96	36	42	31	50	26	36	38	33	
Porites_compressa_HIv1___RNAseq.g15104.t1	1411	537	1039	1074	1078	851	1167	392	980	968	831	588	976	876	639	
Porites_compressa_HIv1___RNAseq.g15105.t1	118	41	92	135	91	127	142	79	111	62	136	84	76	60	83	
Porites_compressa_HIv1___RNAseq.g15109.t1	198	92	249	240	248	133	92	86	213	116	144	89	205	84	250	
Porites_compressa_HIv1___RNAseq.g15110.t1	292	84	550	1438	329	188	412	215	56	17	23	19	117	1248	18	
Porites_compressa_HIv1___RNAseq.g15111.t1	10	5	5	18	10	54	2	10	20	16	16	1	19	9	111	
Porites_compressa_HIv1___RNAseq.g15112.t1	75	52	41	181	15	17	137	11	106	80	128	30	72	70	58	
Porites_compressa_HIv1___RNAseq.g15113.t1	1	2	0	6	5	1	1	6	1	0	1	0	1	1	6	
Porites_compressa_HIv1___RNAseq.g15114.t1	101	94	125	450	44	115	213	14	364	122	155	54	75	164	128	
Porites_compressa_HIv1___RNAseq.g15115.t1	9	4	3	0	8	0	0	5	0	0	6	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g15116.t1	6	0	0	0	0	0	0	0	0	0	0	0	4	0	0	
Porites_compressa_HIv1___RNAseq.g15117.t1	53	0	1	0	0	0	0	0	0	0	0	0	26	0	1	
Porites_compressa_HIv1___RNAseq.g15118.t1	9	0	11	1	1	2	2	1	6	3	0	0	10	5	2	
Porites_compressa_HIv1___RNAseq.g15119.t1	55	22	62	46	39	66	27	19	38	56	48	14	24	30	40	
Porites_compressa_HIv1___RNAseq.g15120.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
Porites_compressa_HIv1___RNAseq.g15121.t1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g15124.t1	2	7	6	0	1	3	1	0	3	6	1	5	0	2	5	
Porites_compressa_HIv1___RNAseq.g15125.t1a	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	
Porites_compressa_HIv1___RNAseq.g15125.t1b	1	0	1	0	2	0	3	2	0	0	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g15126.t1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	
Porites_compressa_HIv1___RNAseq.g15127.t1	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g15128.t1	14	4	26	16	3	24	18	3	6	9	13	7	3	9	11	
Porites_compressa_HIv1___RNAseq.g1513.t1	0	0	0	0	68	80	0	0	4	24	0	0	8	1	3	
Porites_compressa_HIv1___RNAseq.g15131.t1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g15132.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Porites_compressa_HIv1___RNAseq.g15136.t1	1	1	4	0	0	2	1	3	0	2	0	4	0	1	2	
Porites_compressa_HIv1___RNAseq.g15138.t1	1	0	0	0	1	2	0	0	0	0	0	0	0	0	1	
Porites_compressa_HIv1___RNAseq.g15139.t1	0	1	0	0	0	0	2	3	0	0	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g15140.t1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	
Porites_compressa_HIv1___RNAseq.g15141.t1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	
Porites_compressa_HIv1___RNAseq.g15142.t1	0	0	0	0	0	5	1	0	8	4	6	1	1	0	0	
Porites_compressa_HIv1___RNAseq.g15145.t1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g15146.t1	0	0	0	0	0	1	1	0	0	1	0	0	0	7	2	
Porites_compressa_HIv1___RNAseq.g15147.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Porites_compressa_HIv1___RNAseq.g15148.t1	0	0	1	78	0	0	2	2	1	0	22	41	0	12	1	
Porites_compressa_HIv1___RNAseq.g15149.t1	1321	467	1146	2222	1162	1422	1134	714	1635	978	1251	1092	902	982	984	
Porites_compressa_HIv1___RNAseq.g1515.t1	38	0	7	9	87	51	6	38	50	39	20	53	5	53	22	
Porites_compressa_HIv1___RNAseq.g15152.t1	46	8	41	77	31	50	45	20	26	22	50	24	35	47	30	
Porites_compressa_HIv1___RNAseq.g15153.t1	704	141	362	472	366	417	381	185	482	268	277	230	417	379	274	
Porites_compressa_HIv1___RNAseq.g15154.t1	315	99	317	253	235	360	319	170	218	218	212	144	279	134	239	
Porites_compressa_HIv1___RNAseq.g15156.t1	73	33	48	73	74	63	61	19	166	122	55	64	60	19	56	
Porites_compressa_HIv1___RNAseq.g15157.t1	199	48	71	593	144	101	89	75	140	62	226	91	98	142	94	
Porites_compressa_HIv1___RNAseq.g15159.t1	0	0	4	0	16	6	3	5	30	3	3	0	6	0	2	
Porites_compressa_HIv1___RNAseq.g1516.t1	2	0	4	0	6	0	0	5	2	1	1	2	2	1	3	
Porites_compressa_HIv1___RNAseq.g15161.t1	154	82	127	210	245	115	108	128	205	84	171	86	151	138	111	
Porites_compressa_HIv1___RNAseq.g15162.t1	0	0	0	2	0	0	0	0	0	1	0	2	2	0	0	
Porites_compressa_HIv1___RNAseq.g15163.t1	1	0	0	1	0	0	0	2	0	0	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g15164.t1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g15165.t1	41	48	67	0	73	30	1	44	55	0	86	0	51	14	45	
Porites_compressa_HIv1___RNAseq.g15166.t1	1041	354	1234	1481	929	1287	1276	494	1200	722	1042	885	724	670	846	
Porites_compressa_HIv1___RNAseq.g15167.t1	0	1	0	1	0	3	0	0	0	0	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g15168.t1	11	0	4	721	13	1	204	5	0	2	158	789	1	0	0	
Porites_compressa_HIv1___RNAseq.g15169.t1	0	0	2	0	0	0	2	0	2	0	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g1517.t1	13	2	4	1	58	10	3	24	37	1	24	33	2	8	7	
Porites_compressa_HIv1___RNAseq.g15170.t1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g15171.t1	104	58	95	288	70	143	147	102	129	68	122	288	111	66	85	
Porites_compressa_HIv1___RNAseq.g15172.t1	137	151	210	150	240	502	865	228	208	271	298	228	221	145	46	
Porites_compressa_HIv1___RNAseq.g15173.t1	55	20	58	63	84	52	62	21	36	41	87	65	43	57	51	
Porites_compressa_HIv1___RNAseq.g15174.t1	247	135	361	215	425	281	225	160	312	174	258	141	167	204	405	
Porites_compressa_HIv1___RNAseq.g15175.t1	555	198	601	1090	558	596	624	263	608	340	557	289	416	405	597	
Porites_compressa_HIv1___RNAseq.g15179.t1	44	47	44	40	45	34	81	65	131	59	50	24	66	23	64	
Porites_compressa_HIv1___RNAseq.g1518.t1	13	2	28	7	36	48	24	0	14	11	27	29	2	4	51	
Porites_compressa_HIv1___RNAseq.g15180.t1	37	4	43	42	49	92	14	21	51	13	40	27	21	28	51	
Porites_compressa_HIv1___RNAseq.g15182.t1	35	22	62	15	49	84	9	38	16	4	48	30	24	59	44	
Porites_compressa_HIv1___RNAseq.g15184.t1	15	9	21	30	19	35	34	9	27	19	40	38	35	26	11	
Porites_compressa_HIv1___RNAseq.g15185.t1	8	2	8	6	12	12	1	6	4	2	6	8	8	0	6	
Porites_compressa_HIv1___RNAseq.g15187.t1	13	1	26	17	10	30	6	15	13	2	6	9	33	10	19	
Porites_compressa_HIv1___RNAseq.g15188.t1	16	20	17	7	22	24	0	24	3	1	12	44	56	43	16	
Porites_compressa_HIv1___RNAseq.g15189.t1	35	9	37	7	14	67	1	26	15	3	27	15	40	6	16	
Porites_compressa_HIv1___RNAseq.g15190.t1	5	0	8	11	10	21	2	0	4	3	5	11	1	13	6	
Porites_compressa_HIv1___RNAseq.g15191.t1	1	0	0	2	2	8	2	0	4	0	0	1	0	4	2	
Porites_compressa_HIv1___RNAseq.g15192.t1	15	3	10	21	10	19	70	6	9	8	38	50	22	27	13	
Porites_compressa_HIv1___RNAseq.g15193.t1	3	1	4	4	7	4	1	3	0	1	0	1	0	0	5	
Porites_compressa_HIv1___RNAseq.g15194.t1	5	0	3	3	2	1	11	3	8	1	3	0	2	1	3	
Porites_compressa_HIv1___RNAseq.g15195.t1	29	2	28	9	3	8	20	10	9	6	5	0	15	0	4	
Porites_compressa_HIv1___RNAseq.g15197.t1	15	4	8	18	7	30	14	8	8	2	2	1	0	1	12	
Porites_compressa_HIv1___RNAseq.g15199.t1	4	1	5	0	0	4	0	10	0	0	3	4	8	5	0	
Porites_compressa_HIv1___RNAseq.g152.t1	207	102	232	263	157	187	272	102	236	142	165	131	115	156	101	
Porites_compressa_HIv1___RNAseq.g15200.t1	57	28	39	50	71	85	53	12	88	60	53	38	35	34	83	
Porites_compressa_HIv1___RNAseq.g15203.t1	432	129	252	390	299	298	295	127	431	240	391	253	274	266	233	
Porites_compressa_HIv1___RNAseq.g15204.t1	1781	13	43	31	5	302	1	154	146	36	6	14	50	15	16	
Porites_compressa_HIv1___RNAseq.g15205.t1	2564	13	96	94	8	374	14	196	171	88	11	41	65	9	37	
Porites_compressa_HIv1___RNAseq.g15206.t1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	
Porites_compressa_HIv1___RNAseq.g15207.t1	1285	2	25	18	1	16	2	11	44	7	2	8	19	1	14	
Porites_compressa_HIv1___RNAseq.g15208.t1	1021	3	13	5	0	13	0	5	41	2	2	4	22	1	7	
Porites_compressa_HIv1___RNAseq.g1521.t1	24	14	34	87	39	58	45	15	15	19	75	27	34	21	56	
Porites_compressa_HIv1___RNAseq.g15210.t1	3	0	3	0	0	2	1	0	0	0	0	0	4	0	0	
Porites_compressa_HIv1___RNAseq.g15211.t1	3	0	0	1	1	0	1	2	1	0	0	1	1	3	0	
Porites_compressa_HIv1___RNAseq.g15217.t2	7	2	1	0	2	3	1	2	5	3	1	2	3	1	0	
Porites_compressa_HIv1___RNAseq.g15219.t1	1	0	1	0	0	4	0	1	0	2	0	1	0	0	0	
Porites_compressa_HIv1___RNAseq.g1522.t1	0	0	0	1	0	11	0	0	0	0	0	0	0	0	1	
Porites_compressa_HIv1___RNAseq.g15220.t1	0	0	0	1	1	1	5	7	0	1	0	2	0	0	0	
Porites_compressa_HIv1___RNAseq.g15221.t1	0	0	1	0	0	1	1	3	0	0	0	2	1	0	1	
Porites_compressa_HIv1___RNAseq.g15222.t1	6	0	6	15	1	1	0	1	8	1	0	0	0	4	0	
Porites_compressa_HIv1___RNAseq.g15223.t1	1	2	2	1	1	2	0	1	0	1	0	0	0	2	1	
Porites_compressa_HIv1___RNAseq.g15224.t1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g15225.t1	2	0	1	0	4	1	0	0	0	0	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g15226.t1	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g15227.t1	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	
Porites_compressa_HIv1___RNAseq.g15228.t1	2	0	0	0	3	0	1	4	0	1	0	1	1	0	0	
Porites_compressa_HIv1___RNAseq.g1523.t1	85	12	39	24	29	115	57	63	100	13	99	39	43	68	22	
Porites_compressa_HIv1___RNAseq.g15233.t1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g15234.t1	1	0	0	0	0	3	0	0	1	0	0	0	1	0	0	
Porites_compressa_HIv1___RNAseq.g15235.t1	0	0	2	3	0	0	0	0	0	0	0	0	0	0	3	
Porites_compressa_HIv1___RNAseq.g15236.t1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	
Porites_compressa_HIv1___RNAseq.g15237.t1	11	1	3	1	2	11	2	3	1	3	3	0	3	0	3	
Porites_compressa_HIv1___RNAseq.g15239.t1a	1	0	0	0	3	0	2	0	0	0	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g15239.t1b	2	1	8	35	2	8	2	4	0	0	0	6	1	1	5	
Porites_compressa_HIv1___RNAseq.g15239.t1c	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g1524.t1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g15240.t1	0	0	2	0	4	1	0	0	0	0	0	0	2	1	0	
Porites_compressa_HIv1___RNAseq.g15241.t1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	
Porites_compressa_HIv1___RNAseq.g15242.t1	0	0	0	0	1	0	0	3	0	5	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g15243.t1	3	0	0	0	0	20	0	0	0	0	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g15244.t1	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g15247.t1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g15248.t1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	4	
Porites_compressa_HIv1___RNAseq.g1525.t1	0	0	2	0	1	0	0	4	0	4	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g15250.t1	0	2	0	0	0	0	0	4	0	0	0	0	0	0	2	
Porites_compressa_HIv1___RNAseq.g15251.t1	0	2	3	1	0	0	0	0	3	0	0	1	0	0	0	
Porites_compressa_HIv1___RNAseq.g15252.t1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g15253.t1	2	0	0	0	0	0	1	0	3	0	0	0	0	0	1	
Porites_compressa_HIv1___RNAseq.g15254.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Porites_compressa_HIv1___RNAseq.g15255.t1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g15260.t1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g15261.t1	3	4	5	34	1	16	0	13	8	2	7	2	5	5	23	
Porites_compressa_HIv1___RNAseq.g15262.t1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g15265.t1	10	1	17	23	4	12	4	4	3	13	5	2	5	4	26	
Porites_compressa_HIv1___RNAseq.g15266.t1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g15267.t1	0	0	1	1	1	0	1	0	0	0	0	2	1	0	0	
Porites_compressa_HIv1___RNAseq.g15269.t1	1	0	1	0	0	3	0	0	0	0	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g15270.t1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g15271.t1	3	0	2	2	4	6	0	1	2	0	2	4	3	2	4	
Porites_compressa_HIv1___RNAseq.g15274.t1	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g15275.t1a	1	0	1	0	0	0	2	1	0	0	0	0	0	0	1	
Porites_compressa_HIv1___RNAseq.g15275.t1b	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g15276.t1	0	2	0	0	0	2	0	0	1	1	0	8	6	0	0	
Porites_compressa_HIv1___RNAseq.g15277.t1	0	0	1	0	0	3	0	0	3	0	0	0	0	2	0	
Porites_compressa_HIv1___RNAseq.g15279.t1	0	0	0	175	0	0	4	0	0	0	14	73	0	14	8	
Porites_compressa_HIv1___RNAseq.g1528.t1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g15280.t1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
Porites_compressa_HIv1___RNAseq.g15281.t1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g15284.t1b	7	2	3	0	0	3	0	0	1	0	7	2	0	0	1	
Porites_compressa_HIv1___RNAseq.g15287.t1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g15288.t1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	
Porites_compressa_HIv1___RNAseq.g15289.t1	15	10	86	45	20	59	17	31	20	14	23	16	6	13	13	
Porites_compressa_HIv1___RNAseq.g1529.t1	42	0	0	5	1	97	2	11	26	0	3	4	3	37	37	
Porites_compressa_HIv1___RNAseq.g15290.t1	0	0	1	0	2	1	0	0	1	0	0	0	0	0	1	
Porites_compressa_HIv1___RNAseq.g15291.t1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g15292.t1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	
Porites_compressa_HIv1___RNAseq.g15293.t1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g15294.t1	2	1	1	0	0	2	0	1	1	1	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g15295.t1	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g15296.t1	20	8	15	14	7	40	14	11	12	13	9	10	19	4	16	
Porites_compressa_HIv1___RNAseq.g15297.t1	91	73	86	44	41	270	11	104	46	44	109	106	147	123	54	
Porites_compressa_HIv1___RNAseq.g15298.t1	18	9	29	29	5	27	8	11	10	3	16	10	30	5	36	
Porites_compressa_HIv1___RNAseq.g15299.t1	5	13	1	25	13	39	1	0	36	4	22	3	1	43	13	
Porites_compressa_HIv1___RNAseq.g153.t1	339	94	308	649	243	624	295	223	262	193	339	256	277	356	327	
Porites_compressa_HIv1___RNAseq.g1530.t1	5	0	0	0	0	45	0	7	12	0	0	15	0	5	17	
Porites_compressa_HIv1___RNAseq.g15300.t1	20	6	11	48	13	83	11	9	13	7	30	10	7	67	16	
Porites_compressa_HIv1___RNAseq.g15301.t1	107	35	70	118	72	117	120	45	83	84	175	63	69	107	45	
Porites_compressa_HIv1___RNAseq.g15302.t1	26	0	4	36	3	16	20	2	6	3	32	3	2	23	5	
Porites_compressa_HIv1___RNAseq.g15303.t1	22	5	8	39	9	25	15	8	10	2	30	8	5	16	13	
Porites_compressa_HIv1___RNAseq.g15304.t1	116	41	79	143	102	138	77	34	82	90	85	91	74	117	85	
Porites_compressa_HIv1___RNAseq.g15305.t1	1	0	2	2	6	3	1	2	2	3	3	0	0	2	0	
Porites_compressa_HIv1___RNAseq.g15308.t1	0	0	3	11	1	3	1	0	0	0	0	0	2	0	4	
Porites_compressa_HIv1___RNAseq.g15309.t1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g15310.t1	171	22	40	78	147	111	73	36	128	97	72	41	73	76	61	
Porites_compressa_HIv1___RNAseq.g15311.t1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g15312.t1	529	91	279	462	293	524	534	192	441	223	329	232	327	284	335	
Porites_compressa_HIv1___RNAseq.g15313.t1	77	25	227	25	27	63	0	114	40	4	1	39	1	10	11	
Porites_compressa_HIv1___RNAseq.g15316.t1	97	0	1	1	1	2	0	4	30	4	1	5	3	5	5	
Porites_compressa_HIv1___RNAseq.g15317.t1	5	3	9	5	4	5	3	0	3	2	7	5	5	2	2	
Porites_compressa_HIv1___RNAseq.g15318.t1	18	3	1	28	15	33	15	16	31	12	30	18	22	17	29	
Porites_compressa_HIv1___RNAseq.g15319.t1	383	94	172	371	250	493	382	111	284	274	299	182	207	250	361	
Porites_compressa_HIv1___RNAseq.g1532.t1	0	0	6	0	0	1	0	4	1	10	4	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g15320.t1	90	17	46	60	46	66	76	16	62	48	106	36	34	38	56	
Porites_compressa_HIv1___RNAseq.g15321.t1	181	79	67	163	155	202	92	78	175	105	157	118	116	56	69	
Porites_compressa_HIv1___RNAseq.g15322.t1	195	37	75	64	56	241	110	69	333	148	86	91	69	55	141	
Porites_compressa_HIv1___RNAseq.g15323.t1	52	1	102	77	25	683	14	0	32	6	30	25	6	224	290	
Porites_compressa_HIv1___RNAseq.g15326.t1	60	9	70	177	28	202	25	16	28	23	52	85	43	127	192	
Porites_compressa_HIv1___RNAseq.g15327.t1	237	30	221	394	96	310	89	12	115	42	177	143	27	226	483	
Porites_compressa_HIv1___RNAseq.g15328.t1	0	0	0	0	0	1	0	0	0	0	15	7	0	0	1	
Porites_compressa_HIv1___RNAseq.g1533.t1	28	13	23	5	21	57	30	14	17	3	20	13	34	27	10	
Porites_compressa_HIv1___RNAseq.g15330.t1	114	10	66	269	22	33	91	38	13	12	109	10	10	25	62	
Porites_compressa_HIv1___RNAseq.g15331.t1	86	8	17	125	5	37	9	0	8	25	53	74	42	70	45	
Porites_compressa_HIv1___RNAseq.g15332.t1	1	0	0	1	0	0	28	1	0	0	0	0	0	0	2	
Porites_compressa_HIv1___RNAseq.g15333.t1	277	25	171	191	56	291	101	48	105	93	166	142	57	174	350	
Porites_compressa_HIv1___RNAseq.g15334.t1	0	0	0	0	0	1	1	2	1	1	1	0	1	0	0	
Porites_compressa_HIv1___RNAseq.g15336.t1	2	0	3	2	1	1	1	2	0	0	1	0	7	0	0	
Porites_compressa_HIv1___RNAseq.g15337.t1	4	1	0	2	5	3	0	0	5	1	4	1	2	2	1	
Porites_compressa_HIv1___RNAseq.g15338.t1	0	13	53	39	1	36	24	19	46	0	13	26	10	30	17	
Porites_compressa_HIv1___RNAseq.g15339.t1	4	1	1	8	3	14	9	0	4	7	8	3	0	0	10	
Porites_compressa_HIv1___RNAseq.g1534.t1	395	39	183	118	255	429	189	146	237	76	164	79	228	179	184	
Porites_compressa_HIv1___RNAseq.g15340.t1	11	16	24	11	1	23	21	22	18	29	8	8	12	6	19	
Porites_compressa_HIv1___RNAseq.g15341.t1	695	219	348	563	580	586	497	323	588	418	624	528	543	378	434	
Porites_compressa_HIv1___RNAseq.g15342.t1	4	4	18	13	5	14	15	13	3	3	9	11	5	9	15	
Porites_compressa_HIv1___RNAseq.g15343.t1	258	71	227	355	313	493	194	188	165	152	359	242	179	283	426	
Porites_compressa_HIv1___RNAseq.g15344.t1	0	0	1	0	0	16	0	16	40	0	0	2	1	0	2	
Porites_compressa_HIv1___RNAseq.g15345.t1	122	40	65	101	164	110	124	50	111	115	105	52	83	66	92	
Porites_compressa_HIv1___RNAseq.g15346.t1	229	69	168	211	164	172	218	79	223	132	169	112	121	90	158	
Porites_compressa_HIv1___RNAseq.g15347.t1	45	12	66	89	67	70	51	21	38	50	68	40	50	43	40	
Porites_compressa_HIv1___RNAseq.g15348.t1	27	5	11	9	22	20	8	7	8	17	5	4	14	2	5	
Porites_compressa_HIv1___RNAseq.g15349.t1	1	0	1	5	1	8	1	0	4	2	0	3	1	3	5	
Porites_compressa_HIv1___RNAseq.g1535.t1	53	15	48	33	86	82	13	17	27	0	13	14	0	57	1	
Porites_compressa_HIv1___RNAseq.g15351.t1	0	0	0	1	0	0	12	1	1	0	0	0	2	0	0	
Porites_compressa_HIv1___RNAseq.g15352.t1	0	2	0	0	6	1	4	1	1	1	0	2	10	4	0	
Porites_compressa_HIv1___RNAseq.g15353.t1	8	10	1	4	6	15	17	5	19	4	36	10	2	1	4	
Porites_compressa_HIv1___RNAseq.g15354.t1	4	18	30	0	17	0	16	5	3	4	10	47	26	25	1	
Porites_compressa_HIv1___RNAseq.g15355.t1	0	1	0	1	0	0	0	1	0	3	0	1	1	2	0	
Porites_compressa_HIv1___RNAseq.g15356.t1	2	38	93	0	32	1	143	18	0	0	68	184	75	148	1	
Porites_compressa_HIv1___RNAseq.g15357.t1	0	0	1	0	3	0	1	0	0	0	4	1	0	0	0	
Porites_compressa_HIv1___RNAseq.g15358.t1	310	679	422	494	767	1264	1094	668	1805	1293	740	332	652	456	274	
Porites_compressa_HIv1___RNAseq.g15359.t1	2408	606	843	695	738	1211	160	540	4098	6268	279	229	1034	1544	561	
Porites_compressa_HIv1___RNAseq.g1536.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Porites_compressa_HIv1___RNAseq.g15360.t1	680	2288	1833	1360	3455	3777	4434	1274	6698	6747	2993	1863	3201	1244	936	
Porites_compressa_HIv1___RNAseq.g15361.t1	185	39	112	181	163	182	262	78	207	117	109	105	123	96	137	
Porites_compressa_HIv1___RNAseq.g15362.t1	134	33	155	170	110	206	197	70	178	86	135	95	63	92	117	
Porites_compressa_HIv1___RNAseq.g15363.t1	6	1	0	9	1	1	2	5	2	1	0	3	5	2	1	
Porites_compressa_HIv1___RNAseq.g15364.t1	510	52	172	697	271	1188	419	163	97	109	102	325	96	328	92	
Porites_compressa_HIv1___RNAseq.g15365.t1	199	50	88	298	571	311	52	79	49	60	282	233	108	115	167	
Porites_compressa_HIv1___RNAseq.g15366.t1	548	218	428	882	1975	1544	481	342	320	227	1226	1023	639	786	1197	
Porites_compressa_HIv1___RNAseq.g15367.t1	88	50	107	181	121	321	145	121	77	75	337	105	105	224	121	
Porites_compressa_HIv1___RNAseq.g15368.t1	759	366	777	1984	828	2462	1406	523	1402	548	1191	1016	806	829	780	
Porites_compressa_HIv1___RNAseq.g15369.t1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	
Porites_compressa_HIv1___RNAseq.g1537.t1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.g15372.t1	0	14	18	74	111	53	33	41	0	29	107	78	48	2	30	
Porites_compressa_HIv1___RNAseq.g15373.t1	0	2	4	9	11	6	8	6	0	4	21	23	6	0	5	
Porites_compressa_HIv1___RNAseq.g15374.t1	4	17	20	102	91	75	43	21	1	46	132	125	87	0	33	
Porites_compressa_HIv1___RNAseq.g15375.t1	2	3	11	16	8	28	2	8	2	4	10	8	5	5	10	
Porites_compressa_HIv1___RNAseq.g15376.t1	0	6	0	20	8	8	12	0	0	9	12	14	15	0	7	
Porites_compressa_HIv1___RNAseq.g15377.t1	0	1	0	0	3	3	1	0	1	0	1	0	1	0	1	
Porites_compressa_HIv1___RNAseq.g15378.t1	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	
