	SRR14729874.clean.fastq.gz.sam.counts	SRR14729875.clean.fastq.gz.sam.counts	SRR14729876.clean.fastq.gz.sam.counts	SRR14729877.clean.fastq.gz.sam.counts	SRR14729879.clean.fastq.gz.sam.counts	SRR14729880.clean.fastq.gz.sam.counts	SRR14729882.clean.fastq.gz.sam.counts	SRR14729883.clean.fastq.gz.sam.counts	SRR14729884.clean.fastq.gz.sam.counts	SRR14729885.clean.fastq.gz.sam.counts	SRR14729886.clean.fastq.gz.sam.counts	SRR14729887.clean.fastq.gz.sam.counts	SRR14729888.clean.fastq.gz.sam.counts	SRR14729891.clean.fastq.gz.sam.counts	SRR14729892.clean.fastq.gz.sam.counts	
Porites_compressa_HIv1___RNAseq.12927_t	210	54	163	346	154	137	180	184	199	89	106	90	99	71	95	
Porites_compressa_HIv1___RNAseq.13089_t	5	6	14	9	13	14	2	4	9	3	28	14	9	21	6	
Porites_compressa_HIv1___RNAseq.13108_t	113	42	128	247	67	218	162	53	168	59	89	29	198	170	88	
Porites_compressa_HIv1___RNAseq.1322_t	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	
Porites_compressa_HIv1___RNAseq.13243_t	0	0	0	0	1	1	59	0	5	0	1	0	2	0	0	
Porites_compressa_HIv1___RNAseq.1324_t	1	16	33	64	8	85	7	25	0	8	9	18	0	5	79	
Porites_compressa_HIv1___RNAseq.13428_t	68	22	68	67	60	102	107	40	68	51	58	68	38	23	63	
Porites_compressa_HIv1___RNAseq.13530_t	7	0	11	10	5	6	0	4	3	17	1	2	4	7	6	
Porites_compressa_HIv1___RNAseq.13535_t	4	0	5	0	3	0	0	0	0	7	0	0	1	1	0	
Porites_compressa_HIv1___RNAseq.1365_t	0	0	119	0	80	0	1	1	0	0	141	51	0	19	0	
Porites_compressa_HIv1___RNAseq.13848_t	63	14	65	65	46	56	38	21	35	43	72	42	40	50	49	
Porites_compressa_HIv1___RNAseq.14144_t	257	112	236	282	318	383	258	139	374	208	377	224	173	138	207	
Porites_compressa_HIv1___RNAseq.14334_t	34	31	43	462	38	635	152	80	116	70	35	22	31	115	46	
Porites_compressa_HIv1___RNAseq.14335_t	24	7	18	22	9	39	34	9	50	16	19	6	17	10	21	
Porites_compressa_HIv1___RNAseq.14358_t	43	20	68	68	46	53	48	16	51	46	65	44	53	20	47	
Porites_compressa_HIv1___RNAseq.14590_t	119	58	137	167	163	207	160	90	219	105	273	178	91	69	197	
Porites_compressa_HIv1___RNAseq.14601_t	208	72	234	304	232	311	286	134	208	171	261	194	170	182	269	
Porites_compressa_HIv1___RNAseq.14661_t	473	163	416	273	377	390	317	285	429	339	382	246	396	140	278	
Porites_compressa_HIv1___RNAseq.14802_t	432	126	390	305	513	915	1	240	230	110	387	316	254	138	407	
Porites_compressa_HIv1___RNAseq.14822_t	1269	541	1247	1136	1099	1399	1223	751	1930	806	1116	781	852	504	992	
Porites_compressa_HIv1___RNAseq.14827_t	132	41	110	91	97	134	96	60	94	82	178	57	75	60	102	
Porites_compressa_HIv1___RNAseq.14969_t	1737	1483	2282	1221	1722	1923	2804	1181	3185	2651	2734	1583	1925	1576	1603	
Porites_compressa_HIv1___RNAseq.14976_t	15	1	1	0	0	1	0	0	0	0	0	0	23	0	0	
Porites_compressa_HIv1___RNAseq.15003_t	243	64	210	228	187	316	217	174	180	97	247	214	175	507	478	
Porites_compressa_HIv1___RNAseq.1501_t	154	72	205	162	40	132	208	67	577	58	211	46	350	21	338	
Porites_compressa_HIv1___RNAseq.15024_t	20	5	3	14	19	34	8	10	23	7	8	12	9	7	18	
Porites_compressa_HIv1___RNAseq.15398_t	100	10	65	80	159	317	114	35	82	30	89	54	133	48	68	
Porites_compressa_HIv1___RNAseq.15443_t	1	1	15	489	1	14	8	2	1	3	5	1	3	67	2	
Porites_compressa_HIv1___RNAseq.15452_t	447	13	347	18	84	4	650	0	8	680	468	119	343	5	217	
Porites_compressa_HIv1___RNAseq.15474_t	21	0	8	1	3	2	5	1	8	3	12	4	5	1	5	
Porites_compressa_HIv1___RNAseq.15609_t	36	10	38	0	37	6	0	12	39	12	1	10	13	2	148	
Porites_compressa_HIv1___RNAseq.15616_t	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
Porites_compressa_HIv1___RNAseq.15734_t	0	0	2	4	0	3	21	2	0	0	0	1	2	0	1	
Porites_compressa_HIv1___RNAseq.15878_t	4	8	8	48	6	7	11	1	13	15	18	11	13	4	8	
Porites_compressa_HIv1___RNAseq.16064_t	14	7	7	13	15	25	9	6	19	13	22	11	15	2	19	
Porites_compressa_HIv1___RNAseq.16084_t	1	2	2	35	1	0	1	0	1	0	1	19	0	6	0	
Porites_compressa_HIv1___RNAseq.16162_t	704	205	484	452	503	458	482	287	666	410	565	342	456	284	340	
Porites_compressa_HIv1___RNAseq.1619_t	371	113	265	128	289	258	251	94	159	272	206	208	187	122	185	
Porites_compressa_HIv1___RNAseq.16359_t	1108	292	690	1062	563	1030	737	366	849	449	876	476	712	665	841	
Porites_compressa_HIv1___RNAseq.16535_t	256	79	212	140	285	222	128	130	198	293	205	229	239	38	143	
