,treat,reef,bleach,sex
NB_F1_K5,NB_F_K5,K5,NB,F
B_F1_K5,B_F_K5,K5,B,F
NB_F2_44,NB_F_44,44,NB,F
B_F2_44,B_F_44,44,B,F
B_F3_44,B_F_44,44,B,F
NB_F3_K5,NB_F_K5,K5,NB,F
B_F4_K5,B_F_K5,K5,B,F
B_F5_K5,B_F_K5,K5,B,F
NB_F4_44,NB_F_44,44,NB,F
NB_F5_44,NB_F_44,44,NB,F
NB_F6_K5,NB_F_K5,K5,NB,F
B_F6_44,B_F_44,44,B,F
